nombreLocalidad,departamento
Banco Payagúa,Laishí
Bartolomé de las Casas,Patiño
Buena Vista,Pilagás
Ciudad de Formosa,Formosa
Clorinda,Pilcomayo
Comandante Fontana,Patiño
Colonia Pastoril,Formosa
Colonia Sarmiento,Patiño
El Chorro,Ramón Lista
El Colorado,Pirané
El Espinillo,Pilagás
Estanislao del Campo,Patiño
El Quebracho,Ramón Lista
El Recreo,Patiño
Fortín Lugones,Patiño
Fortín Sargento Primero Leyes,Patiño
Fortín Soledad,Bermejo
General Manuel Belgrano,Patiño
General Enrique Mosconi,Ramón Lista
General Lucio Victorio Mansilla,Laishí
Gran Guardia,Formosa
Guadalcázar,Bermejo
Herradura,Laishí
Ibarreta,Patiño
Ingeniero Guillermo Nicasio Juárez,Matacos
Juan G. Bazán,Patiño
La Rinconada,Bermejo
Laguna Blanca,Pilcomayo
Laguna Gallo,Pilagás
Laguna Naineck,Pilcomayo
Laguna Yema,Bermejo
Lamadrid,Bermejo
Las Lomitas,Patiño
Los Chiriguanos,Bermejo
Mariano Boedo,Formosa
Mojón de Fierro,Formosa
Mayor Vicente Villafañe,Pirané
Misión San Francisco de Laishí,Laishí
Misión Tacaaglé,Pilagás
Palma Sola,Pilcomayo
Palo Santo,Pirané
Pirané,Pirané
Portón Negro,Pilagás
Posta Cambio Zalazar,Patiño
Pozo de Masa,Bermejo
Pozo de Mortero,Bermejo
Pozo del Tigre,Patiño
Puerto Pilcomayo,Pilcomayo
Riacho He He,Pilcomayo
Riacho Negro,Pilcomayo
San Hilario,Formosa
San Martín Uno,Patiño
San Martín Dos,Patiño
Siete Palmas,Pilcomayo
Subteniente Perín,Patiño
Tatané,Laishí
Tres Lagunas,Pilagás
Vaca Perdida,Bermejo
Villa Dos Trece,Pirané
Villa General Güemes,Patiño
Villa Escolar,Laishí
Villa Trinidad,Formosa
